"order_id","date_key","merchant_key","product_key","total_sale_amount"
1,20251017,10,140,189.64
1,20251017,10,191,98.88
2,20251121,6,69,89.01
2,20251121,6,300,70.23
3,20251127,10,341,193.18
3,20251127,10,397,155.68
4,20251105,11,45,13.26
4,20251105,11,402,100.72
5,20251115,13,335,263.85
5,20251115,13,446,170.43
6,20251114,14,113,56.82
6,20251114,14,348,20.10
7,20251128,13,203,120.82
7,20251128,13,407,257.19
8,20251117,7,344,29.70
8,20251117,7,477,13.42
9,20251024,3,156,13.35
9,20251024,3,374,36.68
10,20251031,17,176,372.20
10,20251031,17,448,135.90
11,20251126,6,333,182.40
11,20251126,6,476,90.61
12,20251018,10,312,202.52
12,20251018,10,315,90.84
13,20251107,4,190,93.48
13,20251107,4,300,267.56
14,20251213,17,191,91.84
14,20251213,17,313,305.73
15,20251026,11,5,358.04
15,20251026,11,493,79.80
16,20251213,4,19,192.39
16,20251213,4,124,72.84
17,20251108,5,155,278.88
17,20251108,5,173,177.32
18,20251025,17,15,301.47
18,20251025,17,484,204.70
19,20251017,12,358,172.05
19,20251017,12,494,13.84
20,20251116,8,439,161.28
20,20251116,8,441,129.66
21,20251028,3,158,230.72
21,20251028,3,378,206.88
22,20251020,16,321,16.26
22,20251020,16,486,112.62
23,20251209,12,109,395.00
23,20251209,12,133,44.78
24,20251117,11,312,202.14
24,20251117,11,490,26.77
25,20251119,12,353,135.54
25,20251119,12,415,161.96
26,20251130,12,39,42.90
26,20251130,12,281,75.96
27,20251126,8,20,17.74
27,20251126,8,329,301.96
28,20251121,9,252,74.16
28,20251121,9,493,297.88
29,20251119,10,171,244.72
29,20251119,10,493,55.32
30,20251129,7,82,47.20
30,20251129,7,415,251.67
31,20251209,2,110,307.04
31,20251209,2,457,291.57
32,20251016,19,217,52.14
32,20251016,19,387,186.81
33,20251125,15,206,55.36
33,20251125,15,439,38.28
34,20251108,18,56,176.94
34,20251108,18,95,389.84
35,20251115,11,49,152.80
35,20251115,11,292,90.98
36,20251024,9,26,42.70
36,20251024,9,33,260.12
37,20251028,14,31,100.56
37,20251028,14,215,415.96
38,20251213,19,177,17.98
38,20251213,19,285,119.28
39,20251113,11,234,47.48
39,20251113,11,246,166.04
40,20251215,14,200,170.73
40,20251215,14,493,24.96
41,20251103,8,146,405.40
41,20251103,8,240,104.54
42,20251017,15,43,55.61
42,20251017,15,364,164.25
43,20251020,5,437,372.28
43,20251020,5,455,37.46
44,20251021,15,28,295.02
44,20251021,15,139,208.92
45,20251118,6,246,73.85
45,20251118,6,285,34.88
46,20251209,11,39,18.15
46,20251209,11,256,363.76
47,20251202,11,151,18.32
47,20251202,11,475,189.72
48,20251027,18,167,301.32
48,20251027,18,405,220.02
49,20251206,15,339,397.40
49,20251206,15,393,43.90
50,20251020,18,200,303.20
50,20251020,18,323,35.96
51,20251020,18,94,46.89
51,20251020,18,286,43.38
52,20251105,18,155,228.03
52,20251105,18,198,65.72
53,20251103,11,303,164.01
53,20251103,11,488,163.77
54,20251203,4,35,124.05
54,20251203,4,480,181.26
55,20251031,2,86,106.02
55,20251031,2,460,81.96
56,20251129,13,212,12.91
56,20251129,13,240,159.66
57,20251212,16,138,87.38
57,20251212,16,365,84.36
58,20251205,4,206,32.34
58,20251205,4,401,77.02
59,20251106,3,198,133.16
59,20251106,3,211,175.68
60,20251212,16,225,159.96
60,20251212,16,440,158.90
61,20251119,10,124,272.34
61,20251119,10,156,94.73
62,20251212,17,256,149.60
62,20251212,17,465,47.72
63,20251112,6,78,63.60
63,20251112,6,162,103.18
64,20251118,11,174,10.73
64,20251118,11,386,346.12
65,20251106,9,249,73.68
65,20251106,9,363,278.25
66,20251115,6,1,279.33
66,20251115,6,25,45.41
67,20251020,7,53,5.43
67,20251020,7,124,277.05
68,20251116,16,43,299.64
68,20251116,16,190,169.11
69,20251125,12,8,301.40
69,20251125,12,85,37.26
70,20251102,4,171,31.17
70,20251102,4,408,115.23
71,20251106,12,156,109.78
71,20251106,12,230,190.44
72,20251115,11,170,127.92
72,20251115,11,307,57.60
73,20251118,18,90,145.44
73,20251118,18,433,104.56
74,20251128,2,39,287.55
74,20251128,2,251,27.84
